            time               v             rho            temp          eratio            asym
  0.00000000E+00  6.50444294E+06  1.91244636E-09  1.40341514E+04  1.08421018E-02  0.00000000E+00
  3.60730318E+02  6.50555142E+06  1.91212050E-09  1.40868550E+04  1.09826223E-02  0.00000000E+00
  7.21460636E+02  6.50665991E+06  1.91179475E-09  1.41395585E+04  1.11244575E-02  0.00000000E+00
  1.08219095E+03  6.50776839E+06  1.91146911E-09  1.41922621E+04  1.12676020E-02  0.00000000E+00
  1.44292127E+03  6.50887687E+06  1.91114358E-09  1.42449657E+04  1.14120515E-02  0.00000000E+00
  1.80365159E+03  6.50998535E+06  1.91081817E-09  1.42976693E+04  1.15578028E-02  0.00000000E+00
  2.16438191E+03  6.51109383E+06  1.91049286E-09  1.43503728E+04  1.17048534E-02  0.00000000E+00
  2.52511223E+03  6.51220231E+06  1.91016766E-09  1.44030764E+04  1.18532021E-02  0.00000000E+00
  2.88584254E+03  6.51331079E+06  1.90984258E-09  1.44557800E+04  1.20028486E-02  0.00000000E+00
  3.24657286E+03  6.51441927E+06  1.90951760E-09  1.45084836E+04  1.21537939E-02  0.00000000E+00
  3.60730318E+03  6.51552775E+06  1.90919274E-09  1.45611871E+04  1.23060401E-02  0.00000000E+00
  3.96803350E+03  6.51663623E+06  1.90886798E-09  1.46138907E+04  1.24595902E-02  0.00000000E+00
  4.32876382E+03  6.51774471E+06  1.90854334E-09  1.46665943E+04  1.26144487E-02  0.00000000E+00
  4.68949413E+03  6.51885319E+06  1.90821881E-09  1.47192979E+04  1.27706212E-02  0.00000000E+00
  5.05022445E+03  6.51996168E+06  1.90789439E-09  1.47720014E+04  1.29281145E-02  0.00000000E+00
  5.41095477E+03  6.52107016E+06  1.90757008E-09  1.48247050E+04  1.30869366E-02  0.00000000E+00
  5.77168509E+03  6.52217864E+06  1.90724587E-09  1.48774086E+04  1.32470968E-02  0.00000000E+00
  6.13241541E+03  6.52328712E+06  1.90692178E-09  1.49301122E+04  1.34086057E-02  0.00000000E+00
  6.49314572E+03  6.52439560E+06  1.90659780E-09  1.49828157E+04  1.35714752E-02  0.00000000E+00
  6.85387604E+03  6.52550408E+06  1.90627393E-09  1.50355193E+04  1.37357183E-02  0.00000000E+00
  7.21460636E+03  6.52661256E+06  1.90595017E-09  1.50882229E+04  1.39013494E-02  0.00000000E+00
  7.57533668E+03  6.52772104E+06  1.90562652E-09  1.51409265E+04  1.40683842E-02  0.00000000E+00
  7.93606700E+03  6.52882952E+06  1.90530298E-09  1.51936300E+04  1.42368396E-02  0.00000000E+00
  8.29679731E+03  6.52993800E+06  1.90497955E-09  1.52463336E+04  1.44067335E-02  0.00000000E+00
  8.65752763E+03  6.53104648E+06  1.90465622E-09  1.52990372E+04  1.45780854E-02  0.00000000E+00
  9.01825795E+03  6.53215496E+06  1.90433301E-09  1.53517408E+04  1.47509157E-02  0.00000000E+00
  9.37898827E+03  6.53326344E+06  1.90400991E-09  1.54044443E+04  1.49252459E-02  0.00000000E+00
  9.73971859E+03  6.53437193E+06  1.90368692E-09  1.54571479E+04  1.51010988E-02  0.00000000E+00
  1.01004489E+04  6.53548041E+06  1.90336404E-09  1.55098515E+04  1.52784980E-02  0.00000000E+00
  1.04611792E+04  6.53658889E+06  1.90304126E-09  1.55625551E+04  1.54574683E-02  0.00000000E+00
  1.08219095E+04  6.53769737E+06  1.90271860E-09  1.56152586E+04  1.56380352E-02  0.00000000E+00
  1.11826399E+04  6.53880585E+06  1.90239605E-09  1.56679622E+04  1.58202253E-02  0.00000000E+00
  1.15433702E+04  6.53991433E+06  1.90207360E-09  1.57206658E+04  1.60040657E-02  0.00000000E+00
  1.19041005E+04  6.54102281E+06  1.90175126E-09  1.57733694E+04  1.61895844E-02  0.00000000E+00
  1.22648308E+04  6.54213129E+06  1.90142904E-09  1.58260729E+04  1.63768099E-02  0.00000000E+00
  1.26255611E+04  6.54323977E+06  1.90110692E-09  1.58787765E+04  1.65657715E-02  0.00000000E+00
  1.29862914E+04  6.54434825E+06  1.90078491E-09  1.59314801E+04  1.67564985E-02  0.00000000E+00
  1.33470218E+04  6.54545673E+06  1.90046302E-09  1.59841837E+04  1.69490211E-02  0.00000000E+00
  1.37077521E+04  6.54656521E+06  1.90014123E-09  1.60368872E+04  1.71433692E-02  0.00000000E+00
  1.40684824E+04  6.54767370E+06  1.89981955E-09  1.60895908E+04  1.73395735E-02  0.00000000E+00
