            time               v             rho            temp          eratio            asym
  0.00000000E+00  4.27166122E+06  2.91207509E-09  1.37162867E+04  6.66912138E-03  0.00000000E+00
  3.47050632E+02  4.27212947E+06  2.91175591E-09  1.37808351E+04  6.77452617E-03  0.00000000E+00
  6.94101265E+02  4.27259772E+06  2.91143680E-09  1.38453834E+04  6.88140547E-03  0.00000000E+00
  1.04115190E+03  4.27306598E+06  2.91111776E-09  1.39099318E+04  6.98974153E-03  0.00000000E+00
  1.38820253E+03  4.27353423E+06  2.91079879E-09  1.39744802E+04  7.09951763E-03  0.00000000E+00
  1.73525316E+03  4.27400248E+06  2.91047989E-09  1.40390285E+04  7.21071814E-03  0.00000000E+00
  2.08230379E+03  4.27447073E+06  2.91016106E-09  1.41035769E+04  7.32332852E-03  0.00000000E+00
  2.42935443E+03  4.27493898E+06  2.90984230E-09  1.41681252E+04  7.43733535E-03  0.00000000E+00
  2.77640506E+03  4.27540723E+06  2.90952361E-09  1.42326736E+04  7.55272638E-03  0.00000000E+00
  3.12345569E+03  4.27587548E+06  2.90920498E-09  1.42972220E+04  7.66949058E-03  0.00000000E+00
  3.47050632E+03  4.27634373E+06  2.90888643E-09  1.43617703E+04  7.78761815E-03  0.00000000E+00
  3.81755696E+03  4.27681199E+06  2.90856795E-09  1.44263187E+04  7.90710056E-03  0.00000000E+00
  4.16460759E+03  4.27728024E+06  2.90824954E-09  1.44908671E+04  8.02793063E-03  0.00000000E+00
  4.51165822E+03  4.27774849E+06  2.90793120E-09  1.45554154E+04  8.15010255E-03  0.00000000E+00
  4.85870885E+03  4.27821674E+06  2.90761292E-09  1.46199638E+04  8.27361191E-03  0.00000000E+00
  5.20575948E+03  4.27868499E+06  2.90729472E-09  1.46845121E+04  8.39845579E-03  0.00000000E+00
  5.55281012E+03  4.27915324E+06  2.90697659E-09  1.47490605E+04  8.52463274E-03  0.00000000E+00
  5.89986075E+03  4.27962149E+06  2.90665852E-09  1.48136089E+04  8.65214288E-03  0.00000000E+00
  6.24691138E+03  4.28008974E+06  2.90634053E-09  1.48781572E+04  8.78098793E-03  0.00000000E+00
  6.59396201E+03  4.28055800E+06  2.90602261E-09  1.49427056E+04  8.91117121E-03  0.00000000E+00
  6.94101265E+03  4.28102625E+06  2.90570475E-09  1.50072540E+04  9.04269774E-03  0.00000000E+00
  7.28806328E+03  4.28149450E+06  2.90538697E-09  1.50718023E+04  9.17557419E-03  0.00000000E+00
  7.63511391E+03  4.28196275E+06  2.90506925E-09  1.51363507E+04  9.30980899E-03  0.00000000E+00
  7.98216454E+03  4.28243100E+06  2.90475161E-09  1.52008990E+04  9.44541227E-03  0.00000000E+00
  8.32921517E+03  4.28289925E+06  2.90443403E-09  1.52654474E+04  9.58239594E-03  0.00000000E+00
  8.67626581E+03  4.28336750E+06  2.90411652E-09  1.53299958E+04  9.72077365E-03  0.00000000E+00
  9.02331644E+03  4.28383575E+06  2.90379909E-09  1.53945441E+04  9.86056080E-03  0.00000000E+00
  9.37036707E+03  4.28430401E+06  2.90348172E-09  1.54590925E+04  1.00017745E-02  0.00000000E+00
  9.71741770E+03  4.28477226E+06  2.90316442E-09  1.55236409E+04  1.01444337E-02  0.00000000E+00
  1.00644683E+04  4.28524051E+06  2.90284719E-09  1.55881892E+04  1.02885588E-02  0.00000000E+00
  1.04115190E+04  4.28570876E+06  2.90253003E-09  1.56527376E+04  1.04341720E-02  0.00000000E+00
  1.07585696E+04  4.28617701E+06  2.90221294E-09  1.57172859E+04  1.05812971E-02  0.00000000E+00
  1.11056202E+04  4.28664526E+06  2.90189592E-09  1.57818343E+04  1.07299593E-02  0.00000000E+00
  1.14526709E+04  4.28711351E+06  2.90157897E-09  1.58463827E+04  1.08801854E-02  0.00000000E+00
  1.17997215E+04  4.28758176E+06  2.90126209E-09  1.59109310E+04  1.10320033E-02  0.00000000E+00
  1.21467721E+04  4.28805002E+06  2.90094527E-09  1.59754794E+04  1.11854425E-02  0.00000000E+00
  1.24938228E+04  4.28851827E+06  2.90062853E-09  1.60400278E+04  1.13405334E-02  0.00000000E+00
  1.28408734E+04  4.28898652E+06  2.90031185E-09  1.61045761E+04  1.14973073E-02  0.00000000E+00
  1.31879240E+04  4.28945477E+06  2.89999525E-09  1.61691245E+04  1.16557969E-02  0.00000000E+00
  1.35349747E+04  4.28992302E+06  2.89967871E-09  1.62336728E+04  1.18160351E-02  0.00000000E+00
  1.38820253E+04  4.29039127E+06  2.89936224E-09  1.62982212E+04  1.19780559E-02  0.00000000E+00
  1.42290759E+04  4.29085952E+06  2.89904585E-09  1.63627696E+04  1.21418934E-02  0.00000000E+00
  1.45761266E+04  4.29132777E+06  2.89872952E-09  1.64273179E+04  1.23075823E-02  0.00000000E+00
  1.49231772E+04  4.29179603E+06  2.89841326E-09  1.64918663E+04  1.24751575E-02  0.00000000E+00
