2025-01-14T12:14:03.005 60689.50976 18.840 0.012 r    AB   P WFST     WFST    
2025-01-14T12:15:18.000 60689.51063 18.884 0.011 r    AB   P WFST     WFST    
2025-01-14T12:16:34.032 60689.51151 18.841 0.010 r    AB   P WFST     WFST    
2025-01-14T13:15:53.971 60689.55271 20.300 0.048 g    AB   P WFST     WFST    
2025-01-14T13:17:10.003 60689.55359 20.214 0.046 g    AB   P WFST     WFST    
2025-01-14T13:18:26.035 60689.55447 20.273 0.049 g    AB   P WFST     WFST    
2025-01-21T14:15:19.008 60696.59397 18.827 0.011 r    AB   P WFST     WFST    
2025-01-21T15:40:12.979 60696.65293 20.260 0.028 g    AB   P WFST     WFST    
2025-01-21T15:41:29.962 60696.65382 20.307 0.027 g    AB   P WFST     WFST    
2025-01-21T15:42:47.981 60696.65472 20.212 0.026 g    AB   P WFST     WFST    
2025-01-25T15:21:30.989 60700.63994 18.849 0.010 r    AB   P WFST     WFST    
2025-01-25T15:22:47.971 60700.64083 18.834 0.009 r    AB   P WFST     WFST    
2025-01-25T15:24:04.003 60700.64171 18.868 0.011 r    AB   P WFST     WFST    
2025-01-27T15:04:52.982 60702.62839 20.296 0.017 g    AB   P WFST     WFST    
2025-01-27T15:06:09.014 60702.62927 20.288 0.017 g    AB   P WFST     WFST    
2025-01-28T15:05:41.021 60703.62895 18.865 0.009 r    AB   P WFST     WFST    
2025-01-28T15:06:56.966 60703.62983 18.888 0.009 r    AB   P WFST     WFST    
2025-01-28T15:08:14.035 60703.63072 18.874 0.009 r    AB   P WFST     WFST    
2025-01-30T15:03:41.011 60705.62756 18.845 0.013 r    AB   P WFST     WFST    
2025-01-30T15:04:57.994 60705.62845 18.855 0.012 r    AB   P WFST     WFST    
2025-01-30T15:06:14.026 60705.62933 18.876 0.011 r    AB   P WFST     WFST    
2025-01-31T15:06:54.029 60706.62979 20.348 0.028 g    AB   P WFST     WFST    
2025-01-31T15:08:11.011 60706.63068 20.250 0.028 g    AB   P WFST     WFST    
2025-01-31T15:09:26.957 60706.63156 20.235 0.027 g    AB   P WFST     WFST    
2025-02-07T13:44:44.995 60713.57274 17.961 0.009 i    AB   P WFST     WFST    
2025-02-07T14:17:35.002 60713.59554 18.846 0.019 r    AB   P WFST     WFST    
2025-02-08T14:31:59.002 60714.60554 18.907 0.108 r    AB   P WFST     WFST    
2025-02-09T13:31:49.037 60715.56376 18.882 0.020 r    AB   P WFST     WFST    
2025-02-09T14:02:03.005 60715.58476 17.966 0.010 i    AB   P WFST     WFST    
2025-02-15T13:57:01.037 60721.58126 18.823 0.010 r    AB   P WFST     WFST    
2025-02-15T13:58:18.019 60721.58215 18.835 0.010 r    AB   P WFST     WFST    
2025-02-15T14:03:16.013 60721.58560 20.240 0.029 g    AB   P WFST     WFST    
2025-02-16T14:04:36.970 60722.58654 18.850 0.011 r    AB   P WFST     WFST    
2025-02-16T14:05:54.038 60722.58743 18.833 0.010 r    AB   P WFST     WFST    
2025-02-17T13:32:05.971 60723.56396 17.819 0.129 i    AB   P WFST     WFST    
2025-02-18T13:43:10.992 60724.57165 18.849 0.010 r    AB   P WFST     WFST    
2025-02-18T13:44:27.024 60724.57253 18.822 0.010 r    AB   P WFST     WFST    
2025-02-20T13:42:27.965 60726.57116 17.909 0.009 i    AB   P WFST     WFST    
2025-02-20T13:43:43.997 60726.57204 17.930 0.009 i    AB   P WFST     WFST    
2025-02-20T13:45:00.029 60726.57292 17.938 0.010 i    AB   P WFST     WFST    
2025-02-21T13:33:41.962 60727.56507 18.837 0.013 r    AB   P WFST     WFST    
2025-02-21T13:34:57.994 60727.56595 18.804 0.015 r    AB   P WFST     WFST    
2025-02-21T13:36:14.026 60727.56683 18.831 0.016 r    AB   P WFST     WFST    
2025-08-08T17:15:36.029 60895.71917 19.511 0.027 r    AB   P WFST     WFST    
2025-08-10T19:51:30.038 60897.82743 19.686 0.050 r    AB   P WFST     WFST    
2025-08-11T19:14:31.027 60898.80175 19.715 0.040 r    AB   P WFST     WFST    
2025-08-11T19:52:47.021 60898.82832 19.643 0.035 r    AB   P WFST     WFST    
2025-08-12T16:46:55.978 60899.69926 19.652 0.044 r    AB   P WFST     WFST    
2025-08-13T18:41:13.027 60900.77862 19.717 0.028 r    AB   P WFST     WFST    
2025-08-13T20:10:42.010 60900.84076 19.717 0.029 r    AB   P WFST     WFST    
2025-08-14T17:37:10.992 60901.73415 19.674 0.031 r    AB   P WFST     WFST    
